,timestamp,student_id,f1,f2,f3,f4,f5,f6,f7,f8,f1_output,f2_output,f3_output,f4_output,f5_output,f6_output,f7_output,f8_output
24,2024-05-05 12:53:51,534,[0.877228 0.8796  ],[0.562109 0.999999],[0.463899 0.489275 0.408212],[0.462212 0.386621 0.366643 0.298809],[0.269027 0.999999 0.999999 0.999999],[0.582549 0.123754 0.586041 0.832796 0.045121],[0.046316 0.393338 0.197938 0.174495 0.336343 0.877164],[0.067737 0.079147 0.027514 0.046544 0.461641 0.640844 0.390646 0.714468],2.3802307961074535e-87,0.04785161302332992,-0.005920279578927301,-1.9172736384655162,4462.5446688403335,-0.5792514683982274,1.286159989244352,9.7996022398181
45,2024-05-07 07:25:14,534,[0.877228 0.758174],[0.843164 0.999999],[0.509702 0.39142  0.489854],[0.426175 0.38531  0.370372 0.358571],[0.322832 0.999999 0.999999 0.999999],[0.466039 0.148505 0.468833 0.666237 0.036097],[0.046316 0.393338 0.197938 0.174495 0.360367 0.584776],[0.081284 0.094976 0.033017 0.055853 0.369313 0.659154 0.468775 0.571574],-1.7583377748101798e-55,-0.0009321616530640535,-0.019979279842535082,0.5634978502371948,4484.415610972534,-0.7637908558897994,1.7089121291191678,9.6965545709379
82,2024-05-13 06:14:44,534,[0.785666 0.5864  ],[0.769352 0.892841],[0.371119 0.39142  0.489854],[0.34094  0.363106 0.444446 0.430285],[0.387398 0.999999 0.999999 0.999999],[0.466039 0.148505 0.703249 0.999355 0.036097],[0.037053 0.472006 0.15835  0.139596 0.319182 0.467821],[0.081284 0.094976 0.033017 0.055853 0.553969 0.769013 0.334839 0.775708],-9.34658879994363e-20,0.26668855331960684,-0.012443538728597797,0.18089971622844603,4528.747422373895,-0.5699217107442192,1.0339010675539786,9.8171069550181
206,2024-06-10 07:09:12,534,[0.800434 0.811483],[0.687022 0.999999],[0.422794 0.313136 0.498535],[0.34094  0.431025 0.296298 0.430285],[0.464878 0.999999 0.999999 0.999999],[0.372831 0.118804 0.562599 0.999999 0.043316],[0.037053 0.31467  0.237526 0.139596 0.43244  0.55136 ],[0.097541 0.113971 0.03962  0.067024 0.443175 0.659154 0.306139 0.842197],1.3814141380718437e-44,0.5893998288521006,-0.027750859277453032,-0.7281060026700703,4619.3573939745565,-0.6255733712069496,1.401135684193239,9.8499102186696
265,2024-06-20 05:37:21,534,[0.824063 0.666364],[0.672828 0.952955],[0.556679 0.473172 0.489854],[0.485406 0.308248 0.444446 0.430285],[0.557854 0.999999 0.999999 0.999999],[0.494966 0.118804 0.843899 0.806398 0.043316],[0.037053 0.31467  0.15835  0.209394 0.288294 0.668315],[0.117049 0.136765 0.047544 0.080429 0.53181  0.640321 0.367367 0.76697 ],1.0556075310177686e-30,0.5869611718474688,-0.022115196461226776,-1.7238899744862226,4806.634379813344,-0.6723010854043533,2.1459706443724422,9.859542153565
307,2024-06-25 06:16:12,534,[0.700011 0.811483],[0.740962 0.999999],[0.668015 0.567806 0.587825],[0.390058 0.462372 0.444446 0.352494],[0.669425 0.999999 0.999999 0.999999],[0.634778 0.099003 0.703249 0.999355 0.054145],[0.029642 0.251736 0.12668  0.251273 0.230635 0.668315],[0.140459 0.109412 0.057053 0.096515 0.425448 0.731795 0.293894 0.70123 ],-1.5353270444811004e-27,0.4003864864440947,-0.04350589688591709,-0.5760206575857114,5200.648778165311,-0.7885003291147942,2.1100759930593713,9.833723873103
325,2024-06-28 04:06:03,534,[0.762037 0.77002 ],[0.685634 0.999999],[0.611642 0.358719 0.471252],[0.381391 0.365718 0.366606 0.430285],[0.80331  0.999999 0.999999 0.999999],[0.51425  0.148505 0.614333 0.815566 0.054145],[0.029642 0.251736 0.12668  0.167515 0.288294 0.668315],[0.093639 0.164118 0.057053 0.096515 0.486226 0.695206 0.314886 0.745057],4.85787194551985e-27,0.6331613862203378,-0.028291478816733953,0.5275996314420941,6055.632249270248,-0.4010986991816089,2.0250390464175685,9.8650611344911
361,2024-07-01 14:33:18,534,[0.753176 0.78779 ],[0.699513 0.999999],[0.611642 0.37061  0.587825],[0.34094  0.318697 0.444446 0.303874],[0.963972 0.999999 0.999999 0.999999],[0.4114   0.178206 0.635517 0.776194 0.064974],[0.029642 0.350632 0.12668  0.251273 0.313005 0.668315],[0.074911 0.131294 0.068464 0.115818 0.555687 0.675343 0.269902 0.894068],2.058823506950328e-29,0.5572995919581674,-0.04482394899635074,-1.2772529208349712,8013.336005806489,-0.29281669856165876,2.078230447475783,9.9068529560061
425,2024-07-09 17:19:13,534,[0.877228 0.5864  ],[0.822761 0.999999],[0.556679 0.39142  0.32657 ],[0.34094  0.308248 0.296298 0.286857],[0.999999 0.999999 0.999999 0.999999],[0.32912  0.142565 0.76262  0.931433 0.051979],[0.029642 0.377604 0.12668  0.167515 0.230635 0.801978],[0.059929 0.105035 0.054771 0.092654 0.666824 0.540274 0.215922 0.999999],1.2272908981842469e-45,-0.08321863006777672,-0.05798585178402953,-2.760482091531251,8662.405001248297,-0.6217933749430994,1.371910438500578,9.9475031489219
493,2024-07-16 17:14:47,534,[0.877228 0.663402],[0.672663 0.999999],[0.296895 0.445922 0.54566 ],[0.34094  0.397065 0.371627 0.362217],[0.999999 0.999999 0.999999 0.999999],[0.32912  0.213847 0.622368 0.760135 0.077969],[0.029642 0.251736 0.19002  0.251273 0.27182  0.630126],[0.071915 0.084028 0.065725 0.074123 0.647772 0.463092 0.172738 0.885714],-4.6067680431329385e-45,0.5086285419456698,-0.03961785607611309,0.40943600293736937,8662.405001248297,-0.26085859601189737,2.373251220906725,9.9533204500384
